Merk	Soort	Percentage_Alcohol	Brouwerij	Periode
Belge	NaN	?%	Brasserie Devaux	?-2003?
Belgian Pêches	fruitbier	3,5%	Brasserie Lefebvre	2003-heden
Belgica IPA	IPA	7,9%	Brouwerij Strubbe	NaN
Belgissimum	NaN	?%	Brouwerij Bios	?-?
Belgoo Arboo	tripel, amber	8,1%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007-heden
Belgoo Bio Amber	biologisch	7,8%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?-heden
Belgoo Bio Blond	biologisch	6,4%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	?-heden
Belgoo Magus	blond	6,6%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007-heden
Belgoo Maxus	goudblond	8,1%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007-heden
Belgoo Luppoo	goudblond	6,5%	Brouwerij Belgoobeer bij Brouwerij La Binchoise	2007-heden
Bella Mère	blond	6,5%	Brasserie Millevertus	2006-heden
Belle Cies	blond	10%	Huisbrouwerij Den Tseut	?-heden
Belle de Pevele	NaN	?%	Brouwerij Brunehaut	?-?
Belle-Fleur	IPA	6%	Brouwerij De Dochter van de Korenaar	?-heden
Belle-Vue Framboise	fruitbier	5,7%	Brouwerij Belle-Vue (InBev)	?-heden
Belle-Vue Extra Framboise	fruitbier	2,9%	Brouwerij Belle-Vue (Inbev)	?-heden
Belle-Vue Kriek	kriek	5,2%	Brouwerij Belle-Vue (InBev)	?-heden
Belle-Vue Kriek Classique	Kriek	5,1%	Brouwerij Belle-Vue (Inbev)	?-heden
Belle-Vue Kriek Primeur	lambiek	5,5%	Brouwerij Belle-Vue (InBev)	1992-2004
Belle-Vue Extra Kriek	kriek	4,3%	Brouwerij Belle-Vue (InBev)	2004-heden
Belle-Vue Gueuze	lambiek	5,5%	Brouwerij Belle-Vue (InBev)	?-heden
Belle-Vue Selection Lambik	lambiek	5,2%	Brouwerij Belle-Vue (InBev)	1991-1999
Belle-Vue LA	Alcoholarm	1%	Brouwerij Belle-Vue (Inbev)	?-heden
Bellebier Amber	amber	5,2%	Brouwerij Van Steenberge voor Paeleman	NaN
Bellebier Dubbel	bruin	6,2%	Brouwerij Van Steenberge voor Paeleman	NaN
Bellebier Trippel	tripel	8%	Brouwerij Van Steenberge voor Paeleman	NaN
Bellegems Bruin	Vlaams oud bruin	5,5%	Brouwerij Bockor	?-2012
