beer_name	username	taste_rating
Steenbrugge Tripel	mikkopen	5
Steenbrugge Tripel	Ughsmash	7
Steenbrugge Tripel	kevd193213	6
Steenbrugge Tripel	BillKismet	6
Steenbrugge Tripel	bhensonb	4
Peerdebrug Blond	markas101	3
Peerdebrug Blond	EFC1878	7
Peerdebrug Blond	Fin	4
Peerdebrug Blond	DruncanVeasey	6
Palm Royale	Borresteijn	7
Palm Royale	Yves	7
Palm Royale	chilangoglobal	3
Palm Royale	FrankJohansen	6
Palm Royale	Beer2000	6
Palm Royale	daknole	3
Palm Royale	shrubber85	6
Palm Royale	asheft	6
Palm Royale	omhper	6
Palm Royale	MoritzF	4
Palm Royale	Slacks	6
Palm Royale	TorbenH	7
Palm Royale	thewolf	6
Palm Royale	fonefan	6
Palm Royale	RichardGretton	6
