Name	Brewery	Style	ABV	IBU	Location	Brewery_Website	Out_of_Production
La Jefa	Diaz Brewing Company	Strong Dark Ale	10.0	33.0	Baudour	https://www.diazbrewingcompany.com/	Available
La Rose De Diaz IPA	Diaz Brewing Company	IPA	6.1	N/A	Baudour	https://www.diazbrewingcompany.com/	
La Rose de Diaz Blanche	Diaz Brewing Company	Witbier	4.9	13.0	Baudour	https://www.diazbrewingcompany.com/	
La Sour Serie V1	Diaz Brewing Company	Sour	7.7	23.0	Baudour	https://www.diazbrewingcompany.com/	
La Sour Serie V2	Diaz Brewing Company	Sour	6.0	36.0	Baudour	https://www.diazbrewingcompany.com/	
Night Before Halloween 2021	Diaz Brewing Company	Pumpkin Ale	8.4	46.0	Baudour	https://www.diazbrewingcompany.com/	Available
Night Before Halloween 2022	Diaz Brewing Company	Pumpkin Ale	8.0	N/A	Baudour	https://www.diazbrewingcompany.com/	
Quiet Storm	Diaz Brewing Company	Amber	7.0	18.0	Baudour	https://www.diazbrewingcompany.com/	Available
Rare Species	Diaz Brewing Company	Stout	7.5	N/A	Baudour	https://www.diazbrewingcompany.com/	Available
Ready Or Not	Diaz Brewing Company	Stout	6.6	N/A	Baudour	https://www.diazbrewingcompany.com/	No longer in production
Red Alert	Diaz Brewing Company	Amber	7.0	65.0	Baudour	https://www.diazbrewingcompany.com/	No longer in production
Reve Abstrait	Diaz Brewing Company	IPA	5.9	N/A	Baudour	https://www.diazbrewingcompany.com/	Available
Saison De La Foret	Diaz Brewing Company	Saison	6.5	N/A	Baudour	https://www.diazbrewingcompany.com/	
Wheat Harvest IPA V1	Diaz Brewing Company	IPA	5.9	23.0	Baudour	https://www.diazbrewingcompany.com/	Available
Xmas Naughty List	Diaz Brewing Company	Porter	8.0	24.0	Baudour	https://www.diazbrewingcompany.com/	Available
Black Sour IPA	Totem	IPA	4.0	50.0	Evergem	http://totembeer.com/	Available
Carrot Cake Sour	Totem	Sour	8.0	N/A	Evergem	http://totembeer.com/	Available
Double Fruited Sour	Totem	Sour	4.0	15.0	Evergem	http://totembeer.com/	Available
Double IPA	Totem	IPA	8.0	100.0	Evergem	http://totembeer.com/	Available
Galaxy IPA	Totem	IPA	5.2	65.0	Evergem	http://totembeer.com/	No longer in production
Hallertau Blanc Saison	Totem	Saison	4.5	55.0	Evergem	http://totembeer.com/	No longer in production
Kveik IPA	Totem	IPA	5.0	50.0	Evergem	http://totembeer.com/	No longer in production
Rauchbock	Totem	Smoked - Rauchbier	8.0	40.0	Evergem	http://totembeer.com/	No longer in production
Sour IPA	Totem	IPA	4.0	60.0	Evergem	http://totembeer.com/	Available
Speculoos Stout	Totem	Stout	13.0	35.0	Evergem	http://totembeer.com/	No longer in production
Speculoos Stout BA 2021	Totem	Stout	13.0	200.0	Evergem	http://totembeer.com/	
Speculoos Stout BA 2022	Totem	Stout	10.0	50.0	Evergem	http://totembeer.com/	
Triple IPA	Totem	IPA	10.0	80.0	Evergem	http://totembeer.com/	No longer in production
Ice Cream Float	Totem	Stout	13.9	N/A	Evergem	http://totembeer.com/	Available
Mango IPA	Totem	IPA	7.5	60.0	Evergem	http://totembeer.com/	Available
Wisnia With A Cherry On Top Black Forrest Cake Gose	Totem	Gose	3.5	N/A	Evergem	http://totembeer.com/	Available
Brown Ale Rum BA	Lechasseur	Strong ale	9.0	54.0	Gullegem	http://lechasseur.be	No longer in production
Sancti Petri	De Vlier	Dubbel	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
Geraffineerd Champagnebier	De Vlier	Brut	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
IPA Smoked	De Vlier	IPA	8.5	55.0	Holsbeek	https://www.brouwerij-devlier.com/	No longer in production
Bistec	De Vlier	Tripel	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	No longer in production
Chairman	De Vlier	Blond	7.0	20.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Chocolade Kokos	De Vlier	Donker	7.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
De Tien Geboden Van O.B.A.D.	De Vlier	Witbier	5.5	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
De Vlier Pils	De Vlier	Pils	5.2	19.0	Holsbeek	https://www.brouwerij-devlier.com/	
Demi Sec	De Vlier	Brut	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	No longer in production
Donkeren Bolle	De Vlier	Donker	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Dr. Sergey Paramonov	De Vlier	Donker	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Existenz Tripel 21-22	De Vlier	Tripel	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
Existenz Tripel 22-23	De Vlier	Tripel	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Holsbeek Bierloop	De Vlier	Tripel	8.5	N/A	Holsbeek	https://www.brouwerij-devlier.com/	No longer in production
Holsbeekse Tripel	De Vlier	Tripel	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
Honda Blond	De Vlier	Blond	7.5	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Lichtaartse Kwezel	De Vlier	Blond	7.0	41.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Middernachtzon Barrel Aged Raw Dark Ale	De Vlier	Strong Dark Ale	12.5	75.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Middernachtzon Raw Dark Ale	De Vlier	Strong Dark Ale	9.0	75.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Middernachtzon Raw Cherry Ale	De Vlier	Fruitbier	8.33	50.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Mosaiek	De Vlier	Blond	7.5	32.0	Holsbeek	https://www.brouwerij-devlier.com/	Available
Optiek Mertens Bruin	De Vlier	Strong Dark Ale	8.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Optiek Mertens Blond	De Vlier	Blond	7.5	N/A	Holsbeek	https://www.brouwerij-devlier.com/	
Picpus	De Vlier	Strong Golden Ale	9.5	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
Pruuft Nekie!	De Vlier	Tripel	7.5	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
Quintuppel	De Vlier	Strong Golden Ale	12.0	N/A	Holsbeek	https://www.brouwerij-devlier.com/	Available
Ultimatum	De Vlier	Blond	7.5	100.0	Holsbeek	https://www.brouwerij-devlier.com/	No longer in production
